Instance,Income
111994,37960.88945853796
111995,15422.48352674105
111996,30832.917828185415
111997,100272.99157173833
111998,22902.356044027205
111999,104623.75259379848
112000,101130.21552302307
112001,54779.541888896994
112002,43328.7232889624
112003,103939.82818302493
112004,10717.86848400461
112005,187422.83386865875
112006,28809.897907925097
112007,104978.77656133933
112008,259791.43843686074
112009,79925.93277132962
112010,43051.85412729178
112011,23436.829602527854
112012,21400.27780199919
112013,19322.47836207638
112014,132146.22254167334
112015,49082.97975571163
112016,42719.582563713506
112017,24101.287862307185
112018,135698.2710163591
112019,52471.00259110702
112020,38504.586262839
112021,23147.281261469292
112022,95710.97162770877
112023,64749.442423970555
112024,27789.617463151666
112025,80970.45762177164
112026,36469.513099317395
112027,67866.74046516647
112028,44062.63580662386
112029,45293.45004836571
112030,170533.04371774846
112031,208375.33152270774
112032,257631.17541867096
112033,107593.43526358
112034,194420.10381714185
112035,100228.1010137572
112036,153175.7179471977
112037,132895.37092309477
112038,187035.66102128758
112039,44961.639843854624
112040,67045.22811807282
112041,71727.77601243265
112042,46489.00628672222
112043,69688.03858111399
112044,45772.22125796416
112045,17186.139205491283
112046,261745.85241325368
112047,27608.44406856172
112048,22703.433318173917
112049,90667.74549006291
112050,45935.28054273295
112051,80861.58348657664
112052,119521.6655399402
112053,206513.0958308348
112054,84637.52468447316
112055,28569.600737936344
112056,99517.07724408606
112057,24242.060207241804
112058,53254.799701099095
112059,34201.53013263415
112060,285287.2725378235
112061,120628.08233738043
112062,217832.92963379598
112063,70046.96994153598
112064,18389.873627386984
112065,44957.639765160384
112066,6946.559461310366
112067,119729.3180740385
112068,81914.22958132564
112069,279691.3130453123
112070,334269.34112105204
112071,48523.05328097245
112072,77065.11071428366
112073,43966.49208651789
112074,24260.559075283418
112075,13095.884147079734
112076,138989.89801688673
112077,1115747.9264650163
112078,10193.402755928628
112079,153552.79251444267
112080,85049.02181958599
112081,959070.5404539276
112082,38702.8547619025
112083,34806.99088593756
112084,17587.224298484565
112085,42168.1684117744
112086,32311.59536877472
112087,67850.66595643776
112088,134119.89830342075
112089,52308.92430166345
112090,181623.3399446511
112091,46330.51691971846
112092,39570.59963210955
112093,61358.06606183588
112094,34851.30953594358
112095,43837.02303876704
112096,98441.08207249896
112097,18036.08594870089
112098,33586.17553078566
112099,31732.617512614786
112100,82967.5350389776
112101,192108.08217224447
112102,28396.872499634686
112103,142171.2408413931
112104,73431.41981763345
112105,54933.31545831859
112106,97508.76532721546
112107,106791.80852645548
112108,57986.35449576046
112109,31138.072197984857
112110,49757.71468450644
112111,31702.188160102036
112112,77659.77098509939
112113,73875.50600377214
112114,70706.19893354608
112115,19413.627164146223
112116,50077.76908954829
112117,90645.01415736064
112118,28869.832604883595
112119,38099.91528361873
112120,527298.9211675541
112121,124819.75407252097
112122,484599.760614557
112123,224475.93548596426
112124,46801.117191897036
112125,186696.35912243434
112126,155295.34308546272
112127,18989.153229597494
112128,43812.16975933889
112129,117568.85137430708
112130,88877.71014557926
112131,27475.655463587387
112132,85794.8947684043
112133,269785.4287114883
112134,20001.26546069566
112135,20057.099550336505
112136,43294.74340569374
112137,14387.722597241342
112138,27290.15810386492
112139,55104.89886448346
112140,43555.72136795892
112141,43328.71437324106
112142,161253.40514675973
112143,189181.90246172386
112144,30479.609047457136
112145,33929.85038903899
112146,44480.5627684315
112147,247534.54637974885
112148,54746.660136448176
112149,57377.782965495375
112150,3801.1822192063387
112151,339644.77209053544
112152,86493.34285203934
112153,62443.83923725437
112154,37646.289810328344
112155,103006.11414725917
112156,81425.3211422818
112157,93406.3705092374
112158,39766.805992120586
112159,273283.36725567415
112160,58917.68700435423
112161,152652.30105504757
112162,71472.62562129469
112163,16662.84072104167
112164,31257.734640966435
112165,139638.89270398478
112166,52416.777459976605
112167,17314.167106137247
112168,54827.295809345924
112169,282655.29326146096
112170,228238.6063505663
112171,51026.63903253079
112172,23633.313438039582
112173,117000.87818415315
112174,41473.07854071251
112175,40561.15348429067
112176,30596.099227983093
112177,99918.46901200995
112178,20988.538139593158
112179,30798.247156061978
112180,37683.5959858886
112181,13455.950807825076
112182,254835.0970049125
112183,99107.70027657754
112184,24719.6106042518
112185,267540.88696882804
112186,8938.034803976436
112187,126610.77577516978
112188,113952.05469647975
112189,42351.79826891162
112190,29498.692171627346
112191,93555.59719996976
112192,214686.47255055018
112193,36154.323838312186
112194,158132.4191954126
112195,46400.60435744158
112196,26340.19510714042
112197,205966.85156162278
112198,24294.40844831055
112199,36419.71909126122
112200,55177.568391005836
112201,331958.3503079796
112202,123521.09680704112
112203,39253.20327134706
112204,38845.77765414805
112205,10649.28684765531
112206,109950.03220223385
112207,269397.55634045205
112208,66556.45060294682
112209,438876.76393263193
112210,54325.144965500585
112211,235737.37485068524
112212,64133.089324231296
112213,19873.486343414424
112214,206576.79472012082
112215,94805.39751674396
112216,121943.26738289346
112217,38821.04562111958
112218,47937.25317458204
112219,398914.2709213735
112220,27545.295948470346
112221,7657.2244036258835
112222,38546.55794061372
112223,58322.36549605742
112224,137560.37147876332
112225,14733.307252987148
112226,62815.13291866022
112227,57226.01054666444
112228,104796.6446796811
112229,56175.638912876355
112230,197256.04500279375
112231,23486.98014441439
112232,145691.81229594382
112233,28119.41541265591
112234,46265.707316615284
112235,25164.875709283988
112236,102313.5937588166
112237,309230.8087043498
112238,41872.84105422133
112239,144981.22981700327
112240,19148.65485548259
112241,25247.371593662938
112242,49134.05165096556
112243,59211.24729981712
112244,159879.45107920712
112245,101785.06712140574
112246,27784.699446176837
112247,443385.62176775106
112248,99560.08145560953
112249,15755.73819890423
112250,44271.06902303077
112251,50142.740675218636
112252,58862.022544249885
112253,27518.048216325635
112254,305573.19206486223
112255,38952.15340885247
112256,36882.170540307736
112257,42675.17032307012
112258,510595.2374056281
112259,167006.9727947985
112260,140065.22659098968
112261,308037.63733126223
112262,92960.41253938632
112263,32588.901749201323
112264,74059.50094413724
112265,11789.689249147728
112266,43549.95428544377
112267,56614.655244677066
112268,49419.912502841544
112269,367194.2491395749
112270,19179.973260567345
112271,80995.57916387462
112272,72883.16647658867
112273,127500.1595409052
112274,5818.252356524589
112275,163768.5066647572
112276,184182.47983856467
112277,57146.03169151526
112278,30283.06860429913
112279,21662.150895738865
112280,122424.00346851669
112281,66964.99868382899
112282,201509.11386218952
112283,113177.94226482537
112284,75525.32393364169
112285,66711.87062092578
112286,41506.176699849966
112287,89027.80719515437
112288,84323.12687998748
112289,299101.81034011196
112290,198206.8165765741
112291,27774.619506521685
112292,636656.1856003078
112293,31449.2774676169
112294,331496.42460257653
112295,34080.38871651506
112296,246264.1974820869
112297,69624.99194130891
112298,58600.41276044788
112299,43168.76448128329
112300,14834.150216360202
112301,37369.034572834826
112302,19777.64739824357
112303,37986.12238197177
112304,175025.07913956227
112305,27108.413630147024
112306,61433.06890109479
112307,46208.19504482167
112308,104091.62128310406
112309,53777.07109595337
112310,35140.152079792715
112311,92153.95321475911
112312,48306.67272222938
112313,126958.56367913354
112314,23925.741405249864
112315,320505.4295197322
112316,40944.43814658198
112317,19330.652638033127
112318,27483.199469139643
112319,27974.96756937095
112320,908336.6514252103
112321,49690.090290994325
112322,20253.938711070678
112323,98611.69388762036
112324,401363.3195085759
112325,213357.21315180892
112326,120135.77315219205
112327,189309.868276669
112328,122065.61299211495
112329,121683.63316921568
112330,336980.28245110996
112331,352199.39007482043
112332,171340.32941507341
112333,305366.8827448858
112334,191651.9934976473
112335,58904.28576468922
112336,32963.51721229956
112337,263593.6925191682
112338,316457.52342975955
112339,254583.4757101531
112340,52350.89971996284
112341,1156565.1292606813
112342,22623.338583400197
112343,70452.84860676825
112344,27869.015003065455
112345,40674.046067262985
112346,69982.79777338979
112347,18192.548622872175
112348,27984.990316617936
112349,19710.75047591867
112350,105228.29889079982
112351,41370.046574017244
112352,45450.2041569839
112353,-3696.001698026239
112354,129306.28076397709
112355,58270.91767876745
112356,58383.621325341344
112357,69130.1350736115
112358,87675.79444140854
112359,40881.36462817574
112360,20899.74588677116
112361,154477.5090969635
112362,60769.37146067916
112363,47541.62434645132
112364,13105.014791232665
112365,4052.1994319551563
112366,23614.419603184604
112367,21324.140551822937
112368,52960.082013540086
112369,167026.85495020341
112370,35223.27942159353
112371,403893.52862154116
112372,94848.32833372429
112373,59998.722957049366
112374,16762.72077636888
112375,25597.13812764657
112376,103558.65233670198
112377,113030.11894658399
112378,60548.83653525886
112379,105546.7386866576
112380,73012.19040624748
112381,77013.82092686201
112382,101500.83498018085
112383,26894.57585741267
112384,205841.1887496501
112385,11856.803443808303
112386,164277.49494373388
112387,60117.60319103297
112388,89563.04286164629
112389,27203.717382172952
112390,17875.49417451353
112391,13607.67631749234
112392,127355.52080208092
112393,45967.42551963136
112394,61750.332258376766
112395,12380.044300187541
112396,119205.88838798593
112397,48025.295218467414
112398,440567.103866476
112399,92317.07654787185
112400,74681.9196013908
112401,105343.54244079994
112402,937908.7615400911
112403,210219.14299522177
112404,112210.7470427983
112405,62861.756597892454
112406,29119.943892419797
112407,16771.050596953537
112408,14223.350610010548
112409,55068.65570571226
112410,24252.197168866867
112411,144665.8001085564
112412,120985.00143093968
112413,26748.443960433426
112414,77135.5133094291
112415,141398.66516477437
112416,74791.70909923612
112417,112310.37068981469
112418,60002.065012280174
112419,204999.802524383
112420,51237.442898632704
112421,229287.6738207385
112422,105304.75075196473
112423,47406.93547075846
112424,9090.020004553566
112425,37784.43971978252
112426,92833.20842823503
112427,291628.2188429683
112428,163508.42840352526
112429,9988.621992847275
112430,29047.2018804567
112431,145251.02842362295
112432,37891.11441449929
112433,68549.75658578846
112434,33958.62572380188
112435,80392.51529585701
112436,40622.53660280831
112437,78955.7179923811
112438,117718.54864703534
112439,17407.306560447516
112440,267465.4347132308
112441,51033.209301524534
112442,329593.32350411045
112443,47602.263956342445
112444,22545.145561389065
112445,72017.47478683798
112446,458076.95769636286
112447,750678.2838830411
112448,65799.94759888182
112449,83789.91960190954
112450,37177.77777645334
112451,125183.8074305201
112452,12408.456393077475
112453,38105.477918755976
112454,108849.11964277262
112455,662380.0135307945
112456,54706.438187590335
112457,187179.08434334694
112458,116383.37999712695
112459,47033.77982857731
112460,47301.29667931354
112461,439697.848292029
112462,89788.54458466063
112463,52664.39204950575
112464,54313.78661935328
112465,138935.5466309743
112466,161428.21247715066
112467,53755.35723175991
112468,40088.74017615852
112469,62354.29508392729
112470,27123.97703172174
112471,61965.67959435671
112472,177907.76605517644
112473,112432.57741850257
112474,15608.068537976056
112475,87602.45668219795
112476,96986.55598692627
112477,35211.300242676065
112478,74652.60533849086
112479,17861.07957290531
112480,59329.76602639496
112481,159101.26523255013
112482,49645.39477096359
112483,277129.2044846547
112484,49856.877485010154
112485,85073.4383333102
112486,18395.242819784133
112487,24583.031564135243
112488,137198.53755018394
112489,44300.10816869519
112490,291832.6978892196
112491,72768.70397411432
112492,54629.027773878755
112493,372071.8237115683
112494,15185.348825799241
112495,22.924855959292675
112496,23384.40707650998
112497,226316.75574686655
112498,9924.544088393315
112499,57300.298411849195
112500,11233.368354369124
112501,59235.43661119472
112502,67413.62314754202
112503,52067.575558740886
112504,42052.09067198504
112505,28827.085219163502
112506,94685.21557967398
112507,88216.615355739
112508,84051.65227953279
112509,14017.90089135191
112510,36730.253828576046
112511,126813.29407954498
112512,11880.363979894733
112513,40014.576206414495
112514,31439.996586630186
112515,91887.18033038604
112516,95982.83211967029
112517,8884.73545429818
112518,84147.066890124
112519,21396.94473804127
112520,20628.366239496554
112521,167813.2040226266
112522,50232.88113588719
112523,30202.23214666394
112524,76163.64742990295
112525,7037.968170123109
112526,75273.35123149387
112527,43677.93445992615
